id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
273229;Confortable and very well located;1429552;Marta;Eixample;Sant Antoni;41.37704;2.15782;Entire home/apt;72;7;126;08/27/2019;1.41;1;269
273932;Oriental Design apartment;1432835;Angel;Eixample;l'Antiga Esquerra de l'Eixample;41.39053;2.15794;Entire home/apt;100;3;157;08/29/2019;1.69;38;89
275336;Charming 3BR just off Gran Via;1435464;Jaume;Eixample;la Nova Esquerra de l'Eixample;41.38294;2.15728;Hotel room;130;3;92;09/03/2019;1.07;20;328
275346;Sunny terrace penthouse by Camp Nou Free Nespresso;1435464;Jaume;Sarri?-Sant Gervasi;Sarri?;41.3924;2.12314;Hotel room;215;3;39;06/24/2019;0.44;20;338
275350;Parsifal-Front Row Seat on La Rambla, Blend of Character and Modernity;1435464;Jaume;Ciutat Vella;el Raval;41.3796;2.17352;Entire home/apt;100;32;49;08/10/2019;0.73;20;274
275889;La Rambla Zen 1BR apt in Center;1435464;Jaume;Ciutat Vella;el Raval;41.38191;2.1714;Entire home/apt;72;32;9;10/20/2018;0.1;20;146
276324;COMFORTABLE IN GRACE APARTMENT ;1443815;Francisca;Gr?cia;la Vila de Gr?cia;41.40098;2.16085;Entire home/apt;106;5;52;08/29/2019;0.57;1;331
276527;Nice rustic apartament - Parc G¸ell;1444707;Jesus;Gr?cia;el Coll;41.42027;2.14873;Entire home/apt;60;2;320;09/05/2019;3.46;2;186
278036;Big Sunny Room - Paseo de Gracia;1451449;Pedro & Rita;Eixample;la Dreta de l'Eixample;41.3902;2.16674;Private room;45;5;162;08/16/2019;1.79;6;62
279439;Cozy room for 3 in city center (Room #1);1457147;Piero;Ciutat Vella;el Raval;41.37889;2.17314;Private room;50;2;138;08/23/2019;1.5;3;61
281978;Big Private Room - Paseo de Gracia;1451449;Pedro & Rita;Eixample;la Dreta de l'Eixample;41.39111;2.16677;Private room;45;5;115;09/02/2019;1.22;6;114
281985;Medium Sise Room - Paseo de Gracia;1451449;Pedro & Rita;Eixample;la Dreta de l'Eixample;41.39316;2.16559;Private room;30;5;149;08/19/2019;1.59;6;56
282679;Charming Penthouse,two amazing terraces;1354169;Valentin;Eixample;Sant Antoni;41.38034;2.15823;Entire home/apt;225;4;24;07/26/2019;0.28;3;320
283231;FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC;1475411;Francesco;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.39121;2.18665;Entire home/apt;85;1;189;09/12/2019;2.04;1;256
286105;Room at Gran Via Barcelona Spain;1489008;Anne Li;Eixample;el Fort Pienc;41.40034;2.183;Private room;40;30;1;06/03/2014;0.02;1;259
288034;SEPTEMBER BARCELONA QUIET & WITH TERRACE NICE FLAT;1447144;Acomodis Apartments;Eixample;la Nova Esquerra de l'Eixample;41.38791;2.15064;Entire home/apt;80;3;16;07/14/2019;0.18;82;337
288781;Private terrace in Old town;1411775;Jeremies;Ciutat Vella;el Raval;41.37806;2.16472;Entire home/apt;47;32;0;;;3;268
289405;MAGIC ROOM IN G?íTIC *1! CENTRE!;1503151;Laia;Ciutat Vella;el Barri G?tic;41.38178;2.17463;Private room;33;32;5;08/14/2017;0.05;83;228
289600;MAGIC ROOM GOTIC * 2! CITY CENTRE!;1503151;Laia;Ciutat Vella;el Barri G?tic;41.38296;2.17411;Private room;33;32;1;06/30/2014;0.02;83;272
289616;MAGIC ROOM CITY CENTER! * G?íTIC 5!;1503151;Laia;Ciutat Vella;el Barri G?tic;41.38373;2.17412;Private room;29;32;2;02/22/2018;0.02;83;228
289761;MAGIC ROOM GOTIC * 6! CITY CENTRE!;1503151;Laia;Ciutat Vella;el Barri G?tic;41.38292;2.17422;Private room;27;32;0;;;83;228
290592;Views SagradaFamilia + metro + WIFI;1377744;Esther & Gemma;Eixample;la Sagrada Familia;41.41087;2.17644;Entire home/apt;69;4;223;08/30/2019;2.48;2;317
295200;Gaudi view¬¥s Attic with private terrace;612665;Oscar;Gr?cia;la Vila de Gr?cia;41.40771;2.15987;Entire home/apt;110;3;145;08/16/2019;1.56;8;208
296287;Nice room in Barcelona G??tic (3);1503151;Laia;Ciutat Vella;el Barri G?tic;41.38295;2.17484;Private room;24;32;10;09/07/2019;3.41;83;0
297066;3 rooms, 2 bathrooms in the touristic city centre;1541784;Aga;Sants-Montju?c;el Poble Sec;41.37336;2.16997;Entire home/apt;126;1;559;09/14/2019;6.08;1;315
302179;Cozy apartment in the city center;1432835;Angel;Eixample;l'Antiga Esquerra de l'Eixample;41.38817;2.15876;Entire home/apt;90;3;156;08/23/2019;1.79;38;69
305213;PLATANEROS - BRIGHT CENTRAL APT;1570247;Irene;Eixample;Sant Antoni;41.37669;2.16532;Entire home/apt;126;5;244;08/23/2019;2.77;1;115
308166;ARTIST HOUSE IN DOWNTOWN, GAUDI, LIGHT SUN;1561612;Carlos;Eixample;la Dreta de l'Eixample;41.39253;2.15888;Entire home/apt;135;3;166;09/13/2019;1.81;1;1
315769;Sagrada Familia vintage apartment;1994100;Marcello;Eixample;la Sagrada Familia;41.40577;2.17324;Entire home/apt;100;3;15;03/15/2019;0.16;3;292
318865;A penthouse two terraces in Gracia;1608447;Carla;Gr?cia;la Vila de Gr?cia;41.40048;2.158;Entire home/apt;139;3;200;09/09/2019;2.24;1;58
320506;The Loft Barcelona;1642180;The Loft;Sants-Montju?c;el Poble Sec;41.37186;2.16803;Entire home/apt;115;4;50;01/02/2019;0.54;1;304
322268;AMAZING LOCATION & SPACIOUS APART;1650460;Maria;Ciutat Vella;el Barri G?tic;41.37949;2.17725;Entire home/apt;60;32;88;08/02/2017;0.96;1;30
323854;Casa Sagrada Familia Bcn Doubleroom;1657312;Alberto;Eixample;la Sagrada Familia;41.40658;2.17549;Private room;30;1;21;07/29/2014;0.23;1;0
327133;Cozy Double Room - Paseo de Gracia;1451449;Pedro & Rita;Eixample;la Dreta de l'Eixample;41.39309;2.16738;Private room;28;6;167;08/13/2019;1.81;6;151
330248;GREAT  DOUBLE ROOM WI FI CASANOVA;880805;Miguel;Eixample;Sant Antoni;41.38296;2.16275;Private room;50;2;12;06/04/2019;0.13;1;341
330723;SUNNY ROOM WITH BALCONY;1687383;Juanmi;Ciutat Vella;el Raval;41.37729;2.17225;Private room;30;14;56;06/18/2019;0.64;2;309
330766;Urquinaona Charming and Centric;1687524;Virginia;Eixample;la Dreta de l'Eixample;41.39074;2.17306;Entire home/apt;120;5;170;07/06/2019;1.89;1;45
330957;Central 3 bedroom beautiful APT;893805;Phil And Fiona;Eixample;la Dreta de l'Eixample;41.39831;2.17174;Entire home/apt;111;2;400;09/15/2019;4.36;7;333
331026;Small basic room in a nice apt;440881;Lee;Eixample;Sant Antoni;41.3785;2.16132;Private room;27;4;169;09/13/2019;1.87;1;315
333190;Room,  Bikes and views!  SGL-DBL;1697782;JÛse;Eixample;el Fort Pienc;41.4012;2.18139;Private room;18;3;203;09/06/2019;2.3;3;10
337755;SEALONA VILA OLIMPICA BEACH;1716315;Marc;Sant MartÌ;la Vila OlÌmpica del Poblenou;41.39181;2.19263;Entire home/apt;95;3;3;03/13/2017;0.05;7;0
342641;Apartment in villa with garden&pool;1738696;Estela;Sarri?-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;41.42882;2.10123;Entire home/apt;90;2;69;08/21/2019;0.95;1;326
343622;Spacious loft nearby pl. Espa?a ;1743695;Michel;Sants-Montju?c;Hostafrancs;41.3765;2.14385;Entire home/apt;115;5;100;09/12/2019;1.81;1;343
343859;LOVELY 2 BD WIFI GRACIA;1744516;Silvia & Lu?≠s;Gr?cia;la Vila de Gr?cia;41.40004;2.16318;Entire home/apt;137;3;10;07/27/2019;0.16;21;345
343861;1BD FLAT WITH WIFI & AC IN GRACIA;1744516;Silvia & Lu?≠s;Gr?cia;la Vila de Gr?cia;41.40219;2.16311;Entire home/apt;95;3;15;05/20/2019;0.29;21;333
343864;3 BD APT IN THE HEART OF GRACIA;1744516;Silvia & Lu?≠s;Gr?cia;la Vila de Gr?cia;41.40656;2.15732;Entire home/apt;139;3;11;08/04/2019;0.17;21;331
343866;COSY 2BD + 2 BATH + 2 KITCHEN IN GRACIA VIRREINA;1744516;Silvia & Lu?≠s;Gr?cia;la Vila de Gr?cia;41.40545;2.15719;Entire home/apt;89;3;30;05/27/2019;0.38;21;266
346018;Room in a flat with Barcelona best view!;1753990;Filippo;Sant MartÌ;el Parc i la Llacuna del Poblenou;41.39196;2.18784;Private room;70;2;16;08/21/2019;0.18;1;351
351395;Charming Garden House Apt 3BR Apt;1435464;Jaume;Eixample;el Fort Pienc;41.39362;2.18183;Hotel room;125;3;33;08/14/2019;0.43;20;351
352772;Elegant Centric Attic WIFI Car Park;1786501;Fidel;Eixample;la Nova Esquerra de l'Eixample;41.38084;2.15047;Entire home/apt;145;2;95;08/28/2019;1.41;1;313
353640;Great Apartment in Heart of Born;1791076;Marta;Ciutat Vella;el Barri G?tic;41.38109;2.17855;Entire home/apt;110;2;119;08/29/2019;1.81;2;239
357576;"Authentic Vintage Home ¬®El patio de Gr?cia""";1809535;Silvia;Gr?cia;la Vila de Gr?cia;41.39994;2.15211;Entire home/apt;120;1;173;09/15/2019;1.97;2;237
357958;Private terrace and bathroom & WiFi;1809119;Katja;Eixample;l'Antiga Esquerra de l'Eixample;41.38736;2.15547;Private room;65;1;130;09/14/2019;1.63;1;237
359277;HABITACION CON BALCON EN RAMBLAS 2;1818044;Ricardo;Ciutat Vella;el Barri G?tic;41.37769;2.17762;Private room;40;2;144;09/16/2019;1.58;3;218
359841;BacRou, design loft near the sea;1820272;Rosa;Sant MartÌ;el Poblenou;41.40331;2.20929;Entire home/apt;60;2;312;09/14/2019;3.53;6;0
363601;stylish flat in barcelona center;1837053;Ayal;Ciutat Vella;el Raval;41.37781;2.17345;Entire home/apt;60;32;26;08/23/2018;0.3;2;170
363739;small single/double room close to Plaza de Espa?a;1837622;Idoya;Sants-Montju?c;la Bordeta;41.36961;2.13847;Private room;25;2;46;09/09/2019;0.58;1;93
364030;Amazing views, centric apt w/terrac;1839136;Mires;Eixample;Sant Antoni;41.3756;2.16127;Entire home/apt;175;3;263;08/25/2019;2.87;1;0
365911;Low-priced,Super Reviewed Apartment;1260560;Ralph;Eixample;la Nova Esquerra de l'Eixample;41.37977;2.15495;Entire home/apt;119;3;66;08/30/2019;0.76;4;316
370665;vig HAPPY APARTMENT IN EL BORN;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38458;2.18118;Entire home/apt;90;32;0;;;82;336
374491;ROOM WITH A BALCONY IN RAMBLAS 1;1818044;Ricardo;Ciutat Vella;el Barri G?tic;41.37822;2.17798;Private room;40;2;132;08/26/2019;1.46;3;233
374561;HABITACION BA?ëO PRIVADO EN RAMBLAS;1818044;Ricardo;Ciutat Vella;el Barri G?tic;41.37744;2.17776;Private room;55;2;126;09/06/2019;1.41;3;235
377161;Rustic apartment Parc Guell II;1444707;Jesus;Gr?cia;el Coll;41.41895;2.14928;Entire home/apt;60;2;329;09/16/2019;3.65;2;182
378998;PRECIOSA Y ACOGEDORA HABITACI?ìN ;1903257;Flor;Nou Barris;Vilapicina i la Torre Llobeta;41.42618;2.17423;Private room;20;1;0;;;1;0
379868;INCREDIBLE VIEW front Sagrada Familia+PRIV.BALCONY;1906952;Khris;Eixample;la Sagrada Familia;41.40642;2.17093;Private room;56;2;290;09/12/2019;3.27;2;75
380421;Double room with a balcony;1414100;Xavier;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38437;2.18;Private room;48;1;394;08/28/2019;4.33;2;86
380903;Bailen II - terrace in the Eixample;1725307;Barcelona;Eixample;la Dreta de l'Eixample;41.39656;2.17366;Entire home/apt;53;30;9;07/31/2019;0.1;1;295
382000;Homely Apartment in Sagrada Fam?≠lia - 4 bedrooms;1915191;Montserrat;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.407;2.16823;Entire home/apt;110;4;180;08/19/2019;2.02;1;304
384063;nap2 HAPPY & QUIET 3 BEDROOM & 2 BATHROOMS FLAT;1447144;Acomodis Apartments;Eixample;la Dreta de l'Eixample;41.39606;2.17605;Entire home/apt;130;1;9;08/18/2019;0.1;82;365
